"age","after","received_coupon","revenue"
"20-30",0,0,8.93
"20-30",0,0,11.26
"20-30",0,0,9.37
"20-30",0,0,9.74
"20-30",0,0,9.47
"20-30",0,0,13.54
"20-30",0,0,8.86
"20-30",0,0,9.39
"20-30",0,0,10.33
"20-30",0,0,10.73
"20-30",0,0,10.68
"20-30",0,0,10.2
"20-30",0,0,7.31
"20-30",0,0,11.04
"20-30",0,0,11.33
"20-30",0,0,9.33
"20-30",0,0,11.65
"20-30",0,0,8.78
"20-30",0,0,11.07
"20-30",0,0,8.97
"20-30",0,0,6.85
"20-30",0,0,12.61
"20-30",0,0,11.69
"20-30",0,0,10.59
"20-30",0,0,13.29
"20-30",0,0,7.04
"20-30",0,0,10.56
"20-30",0,0,5.49
"20-30",0,0,13.19
"20-30",0,0,8.54
"20-30",0,0,7.69
"20-30",0,0,8.55
"20-30",0,0,7.97
"20-30",0,0,6.34
"20-30",0,0,8.32
"20-30",0,0,10
"20-30",0,0,12.13
"20-30",0,0,11.12
"20-30",0,0,7.82
"20-30",0,0,9.01
"20-30",0,0,14.16
"20-30",0,0,11.12
"20-30",0,0,7.72
"20-30",0,0,15.57
"20-30",0,0,11.27
"20-30",0,0,12.01
"20-30",0,0,12.48
"20-30",0,0,10.75
"20-30",0,0,10.44
"20-30",0,0,8.33
"20-30",0,0,7.68
"20-30",0,0,15.23
"20-30",0,0,8.97
"20-30",0,0,12.13
"20-30",0,0,12.23
"20-30",0,0,13.52
"20-30",0,0,13.97
"20-30",0,0,11.7
"20-30",0,0,12.74
"20-30",0,0,8.05
"20-30",0,0,11.64
"20-30",0,0,12.73
"20-30",0,0,10.77
"20-30",0,0,9.46
"20-30",0,0,10.78
"20-30",0,0,9.2
"20-30",0,0,9.3
"20-30",0,0,12.63
"20-30",0,0,14.61
"20-30",0,0,6.88
"20-30",0,0,7.1
"20-30",0,0,8.22
"20-30",0,0,10.95
"20-30",0,0,8.52
"20-30",0,0,11.09
"20-30",0,0,10.77
"20-30",0,0,9.44
"20-30",0,0,9.2
"20-30",0,0,7.66
"20-30",0,0,11.66
"20-30",0,0,14.63
"20-30",0,0,9.47
"20-30",0,0,7.59
"20-30",0,0,8.96
"20-30",0,0,11.6
"20-30",0,0,11.84
"20-30",0,0,15.65
"20-30",0,0,7.56
"20-30",0,0,10.42
"20-30",0,0,9.91
"20-30",0,0,7.78
"20-30",0,0,8.98
"20-30",0,0,7.64
"20-30",0,0,10.85
"20-30",0,0,12.47
"20-30",0,0,7.01
"20-30",0,0,9.39
"20-30",0,0,13.22
"20-30",0,0,6.95
"20-30",0,0,13.42
"20-30",0,0,7.31
"20-30",0,0,7.94
"20-30",0,0,9.59
"20-30",0,0,8.47
"20-30",0,0,12
"20-30",0,0,9.32
"20-30",0,0,11.76
"20-30",0,0,9.06
"20-30",0,0,10.99
"20-30",0,0,13.93
"20-30",0,0,13.21
"20-30",0,0,11.12
"20-30",0,0,10.7
"20-30",0,0,13.67
"20-30",0,0,8.37
"20-30",0,0,11.62
"20-30",0,0,9.19
"20-30",0,0,15.19
"20-30",0,0,9.69
"20-30",0,0,10.07
"20-30",0,0,12.24
"20-30",0,0,11.48
"20-30",0,0,7.88
"20-30",0,0,9.7
"20-30",0,0,11.1
"20-30",0,0,6.92
"20-30",0,0,8.87
"20-30",0,0,9.79
"20-30",0,0,8.3
"20-30",0,0,8.45
"20-30",0,0,11.18
"20-30",0,0,9.65
"20-30",0,0,9.75
"20-30",0,0,12.87
"20-30",0,0,10.91
"20-30",0,0,12.85
"20-30",0,0,12.37
"20-30",0,0,11.63
"20-30",0,0,9.67
"20-30",0,0,11.23
"20-30",0,0,11.26
"20-30",0,0,15.37
"20-30",0,0,9.23
"20-30",0,0,13.04
"20-30",0,0,10.58
"20-30",0,0,8.73
"20-30",0,0,14.06
"20-30",0,0,11.41
"20-30",0,0,6.61
"20-30",0,0,9.2
"20-30",0,0,10.25
"20-30",0,0,5.98
"20-30",0,0,13.84
"20-30",0,0,11.82
"20-30",0,0,9.33
"20-30",0,0,9.35
"20-30",0,0,10.96
"20-30",0,0,8.36
"20-30",0,0,9.24
"20-30",0,0,10.42
"20-30",0,0,10.51
"20-30",0,0,12.64
"20-30",0,0,11.09
"20-30",0,0,10.03
"20-30",0,0,9.54
"20-30",0,0,12.86
"20-30",0,0,8.9
"20-30",0,0,11.43
"20-30",0,0,10.91
"20-30",0,0,10.73
"20-30",0,0,12.14
"20-30",0,0,8.52
"20-30",0,0,10.29
"20-30",0,0,9.91
"20-30",0,0,5.83
"20-30",0,0,11.26
"20-30",0,0,13.55
"20-30",0,0,7.91
"20-30",0,0,13.62
"20-30",0,0,10.71
"20-30",0,0,13.07
"20-30",0,0,8.58
"20-30",0,0,11.67
"20-30",0,0,9.14
"20-30",0,0,8.93
"20-30",0,0,11.06
"20-30",0,0,12.93
"20-30",0,0,10.93
"20-30",0,0,9.3
"20-30",0,0,12.8
"20-30",0,0,9.69
"20-30",0,0,11.92
"20-30",0,0,7.78
"20-30",0,0,11.83
"20-30",0,0,8.69
"20-30",0,0,9.54
"20-30",0,0,7.57
"20-30",0,0,17.34
"20-30",0,0,7.87
"20-30",0,0,10.69
"20-30",0,0,10.49
"20-30",0,0,8.54
"20-30",0,0,10.82
"20-30",0,0,11.62
"20-30",0,0,11.83
"20-30",0,0,5.83
"20-30",0,0,8.49
"20-30",0,0,9.97
"20-30",0,0,10.17
"20-30",0,0,9.29
"20-30",0,0,11.34
"20-30",0,0,10.37
"20-30",0,0,8.48
"20-30",0,0,12.13
"20-30",0,0,9.63
"20-30",0,0,10.49
"20-30",0,0,14.55
"20-30",0,0,10.69
"20-30",0,0,8.36
"20-30",0,0,9.73
"20-30",0,0,10.63
"20-30",0,0,8.08
"20-30",0,0,6.44
"20-30",0,0,9.36
"20-30",0,0,11.37
"20-30",0,0,8.46
"20-30",0,0,11.67
"20-30",0,0,13.34
"20-30",0,0,10.69
"20-30",0,0,13.69
"20-30",0,0,10.86
"20-30",0,0,9.16
"20-30",0,0,9.98
"20-30",0,0,15.28
"20-30",0,0,12.44
"20-30",0,0,10.98
"20-30",0,0,10.74
"20-30",0,0,10.44
"20-30",0,0,10.91
"20-30",0,0,13.32
"20-30",0,0,11.53
"20-30",0,0,10.48
"20-30",0,0,5.5
"20-30",0,0,10.4
"20-30",0,0,10.97
"20-30",0,0,11.17
"20-30",0,0,10.72
"20-30",0,0,10.52
"20-30",0,0,6.31
"20-30",0,0,13.31
"20-30",0,0,11.01
"20-30",0,0,11.17
"20-30",0,0,11.84
"20-30",0,0,11.12
"20-30",0,0,6.35
"20-30",0,0,8.12
"20-30",0,0,12.43
"20-30",0,0,14.54
"20-30",0,0,9.29
"20-30",0,0,11.11
"20-30",0,0,14.38
"20-30",0,0,9.91
"20-30",0,0,13.04
"20-30",0,0,9.27
"20-30",0,0,8.86
"20-30",0,0,9.95
"20-30",0,0,9.5
"20-30",0,0,11.96
"20-30",0,0,8.73
"20-30",0,0,8.42
"20-30",0,0,11.14
"20-30",0,0,14.5
"20-30",0,0,9.4
"20-30",0,0,8.11
"20-30",0,0,9.24
"20-30",0,0,9.33
"20-30",0,0,10.56
"20-30",0,0,10.15
"20-30",0,0,9.58
"20-30",0,0,6.2
"20-30",0,0,8.8
"20-30",0,0,7.14
"20-30",0,0,9.72
"20-30",0,0,8.92
"20-30",0,0,9.96
"20-30",0,0,9.85
"20-30",0,0,12.14
"20-30",0,0,8.08
"20-30",0,0,8.98
"20-30",0,0,8.55
"20-30",0,0,10.03
"20-30",0,0,10.91
"20-30",0,0,14.63
"20-30",0,0,12.06
"20-30",0,0,11.31
"20-30",0,0,10.52
"20-30",0,0,9.71
"20-30",0,0,11.84
"20-30",0,0,14.56
"20-30",0,0,11.4
"20-30",0,0,13.36
"20-30",0,0,13.63
"20-30",0,0,9.34
"20-30",0,0,9.56
"20-30",0,0,9.27
"20-30",0,0,11.09
"20-30",0,0,9.67
"20-30",0,0,8.93
"20-30",0,0,13.56
"20-30",0,0,8.93
"20-30",0,0,9.67
"20-30",0,0,9.02
"20-30",0,0,11.57
"20-30",0,0,10.35
"20-30",0,0,10.76
"20-30",0,0,9.81
"20-30",0,0,10.35
"20-30",0,0,7.81
"20-30",0,0,7.89
"20-30",0,0,10.85
"20-30",0,0,13.76
"20-30",0,0,8.17
"20-30",0,0,10.07
"20-30",0,0,9.01
"20-30",0,0,12.18
"20-30",0,0,14.14
"20-30",0,0,8.29
"20-30",0,0,11.39
"20-30",0,0,10.37
"20-30",0,0,9.67
"20-30",0,0,10.88
"20-30",0,0,9.61
"20-30",0,0,10.53
"20-30",0,0,11.39
"20-30",0,0,12.59
"20-30",0,0,7.73
"20-30",0,0,12.14
"20-30",0,0,8.61
"20-30",0,0,7.46
"20-30",0,0,4.97
"20-30",0,0,11.97
"20-30",0,0,15.05
"20-30",0,0,10.33
"20-30",0,0,7.03
"20-30",0,0,11.28
"20-30",0,0,8.26
"20-30",0,0,12.48
"20-30",0,0,8.02
"20-30",0,0,10.27
"20-30",0,0,10.89
"20-30",0,0,16.7
"20-30",0,0,10.48
"20-30",0,0,11.44
"20-30",0,0,11.36
"20-30",0,0,9.42
"20-30",0,0,8.95
"20-30",0,0,14.61
"20-30",0,0,11.49
"20-30",0,0,9.53
"20-30",0,0,11.74
"20-30",0,0,13.72
"20-30",0,0,12.45
"20-30",0,0,11.85
"20-30",0,0,10.4
"20-30",0,0,8.13
"20-30",0,0,10.28
"20-30",0,0,14.36
"20-30",0,0,8.07
"20-30",0,0,12.58
"20-30",0,0,9.07
"20-30",0,0,5.91
"20-30",0,0,7.87
"20-30",0,0,10.21
"20-30",0,0,13.5
"20-30",0,0,12.16
"20-30",0,0,11.96
"20-30",0,0,12.35
"20-30",0,0,9.35
"20-30",0,0,13.58
"20-30",0,0,9.04
"20-30",0,0,7.54
"20-30",0,0,9.79
"20-30",0,0,13.66
"20-30",0,0,5.21
"20-30",0,0,10.32
"20-30",0,0,14.22
"20-30",0,0,9.53
"20-30",0,0,12.12
"20-30",0,0,7.4
"20-30",0,0,8.06
"20-30",0,0,8.35
"20-30",0,0,10.17
"20-30",0,0,6.02
"20-30",0,0,7.77
"20-30",0,0,10.47
"20-30",0,0,10.68
"20-30",0,0,10.68
"20-30",0,0,10.74
"20-30",0,0,9
"20-30",0,0,10.81
"20-30",0,0,9.36
"20-30",0,0,7.91
"20-30",0,0,10.54
"20-30",0,0,8.23
"20-30",0,0,9.92
"20-30",0,0,8.36
"20-30",0,0,10.42
"20-30",0,0,6.08
"20-30",0,0,12.26
"20-30",0,0,11.04
"20-30",0,0,11.74
"20-30",0,0,14.06
"20-30",0,0,9.51
"20-30",0,0,10.52
"20-30",0,0,9.11
"20-30",0,0,11.14
"20-30",0,0,9.21
"20-30",0,0,12.62
"20-30",0,0,11.58
"20-30",0,0,10.06
"20-30",0,0,10.67
"20-30",0,0,9.26
"20-30",0,0,10.44
"20-30",0,0,9.93
"20-30",0,0,7.49
"20-30",0,0,10.76
"20-30",0,0,8.52
"20-30",0,0,9.98
"20-30",0,0,9.82
"20-30",0,0,10.24
"20-30",0,0,9.67
"20-30",0,0,9.47
"20-30",0,0,8.25
"20-30",0,0,12.5
"20-30",0,0,11.94
"20-30",0,0,10.64
"20-30",0,0,10.38
"20-30",0,0,12.46
"20-30",0,0,11.06
"20-30",0,0,8.14
"20-30",0,0,10.68
"20-30",0,0,13.47
"20-30",0,0,9.8
"20-30",0,0,10.99
"20-30",0,0,10.05
"20-30",0,0,8.31
"20-30",0,0,8.26
"20-30",0,0,11.98
"20-30",0,0,12
"20-30",0,0,11.24
"20-30",0,0,7.76
"20-30",0,0,8.09
"20-30",0,0,6.5
"20-30",0,0,11.28
"20-30",0,0,8.89
"20-30",0,0,13.86
"20-30",0,0,9.81
"20-30",0,0,6.08
"20-30",0,0,9.13
"20-30",0,0,9.26
"20-30",0,0,11.33
"20-30",0,0,9.05
"20-30",0,0,10.68
"20-30",0,0,7.45
"20-30",0,0,11.1
"20-30",0,0,12.62
"20-30",0,0,10.95
"20-30",0,0,8.27
"20-30",0,0,10.5
"20-30",0,0,12.28
"20-30",0,0,12.51
"20-30",0,0,10.86
"20-30",0,0,9.49
"20-30",0,0,12.87
"20-30",0,0,9.79
"20-30",0,0,8.01
"20-30",0,0,10.83
"20-30",0,0,11.57
"20-30",0,0,7.5
"20-30",0,0,7.28
"20-30",0,0,9.7
"20-30",0,0,11.28
"20-30",0,0,8.5
"20-30",0,0,7.15
"20-30",0,0,9.29
"20-30",0,0,9.05
"20-30",0,0,8.93
"20-30",0,0,9.86
"20-30",0,0,11.08
"20-30",0,0,8.69
"20-30",0,0,9.21
"20-30",0,0,12.73
"20-30",0,0,9.47
"20-30",0,0,10.63
"20-30",0,0,7.16
"20-30",0,0,13.23
"20-30",0,0,7.31
"20-30",0,0,8
"20-30",0,0,6.25
"20-30",0,0,8.94
"20-30",0,0,11.31
"20-30",0,0,11.79
"20-30",0,0,10.65
"20-30",0,0,9.42
"20-30",0,0,12.19
"20-30",0,0,12.08
"20-30",0,0,6.92
"20-30",0,0,8.88
"20-30",0,0,9.64
"20-30",0,0,12.27
"20-30",0,0,8.32
"20-30",0,0,10.83
"20-30",0,0,8.84
"20-30",0,0,13.05
"20-30",0,0,9.1
"20-30",0,0,9.76
"20-30",0,0,11.11
"20-30",0,0,11.99
"20-30",0,0,11.34
"20-30",0,0,13.46
"20-30",0,0,10.07
"20-30",0,0,9.33
"20-30",0,0,5.54
"20-30",0,0,9.03
"20-30",0,0,10.37
"20-30",0,0,10.08
"20-30",0,0,6.56
"20-30",0,0,10.14
"20-30",0,0,9.66
"20-30",0,0,10.54
"20-30",0,0,11.36
"20-30",0,0,9.9
"20-30",0,0,13.63
"20-30",0,0,10.93
"20-30",0,0,11.5
"20-30",0,0,7.44
"20-30",0,0,9.35
"20-30",0,0,9.32
"20-30",0,0,12.35
"20-30",0,0,8.11
"20-30",0,0,8.47
"20-30",0,0,12.41
"20-30",0,0,7.42
"20-30",0,0,11.37
"20-30",0,0,8.21
"20-30",0,0,10.47
"20-30",0,0,9.95
"20-30",0,0,9.23
"20-30",0,0,10.5
"20-30",0,0,8.26
"20-30",0,0,11.16
"20-30",0,0,13.31
"20-30",0,0,9.76
"20-30",0,0,12.04
"20-30",0,0,7.87
"20-30",0,0,6.51
"20-30",0,0,8.66
"20-30",0,0,11.8
"20-30",0,0,11.85
"20-30",0,0,6.72
"20-30",0,0,10.48
"20-30",0,0,9.94
"20-30",0,0,7.36
"20-30",0,0,11.28
"20-30",0,0,9.5
"20-30",0,0,9.96
"20-30",0,0,5.87
"20-30",0,0,12.32
"20-30",0,0,11.35
"20-30",0,0,10.83
"20-30",0,0,9.52
"20-30",0,0,9.5
"20-30",0,0,10.75
"20-30",0,0,9.08
"20-30",0,0,11.38
"20-30",0,0,12.12
"20-30",0,0,13.11
"20-30",0,0,8.79
"20-30",0,0,10.26
"20-30",0,0,10.58
"20-30",0,0,8.46
"20-30",0,0,11.45
"20-30",0,0,10.9
"20-30",0,0,8.58
"20-30",0,0,8.68
"20-30",0,0,11.25
"20-30",0,0,11.44
"20-30",0,0,13.13
"20-30",0,0,10.42
"20-30",0,0,9.13
"20-30",0,0,10.84
"20-30",0,0,12.46
"20-30",0,0,10.01
"20-30",0,0,9.03
"20-30",0,0,11.35
"20-30",0,0,12.51
"20-30",0,0,9.3
"20-30",0,0,11.15
"20-30",0,0,8.15
"20-30",0,0,9.05
"20-30",0,0,11.98
"20-30",0,0,10.18
"20-30",0,0,10.15
"20-30",0,0,11.13
"20-30",0,0,7.54
"20-30",0,0,7.34
"20-30",0,0,10.54
"20-30",0,0,12.69
"20-30",0,0,9.79
"20-30",0,0,9.61
"20-30",0,0,6.68
"20-30",0,0,7.04
"20-30",0,0,9.76
"20-30",0,0,6.72
"20-30",0,0,9.84
"20-30",0,0,13.87
"20-30",0,0,9.97
"20-30",0,0,11.92
"20-30",0,0,8.36
"20-30",0,0,6.39
"20-30",0,0,13.87
"20-30",0,0,12.93
"20-30",0,0,12.52
"20-30",0,0,8.31
"20-30",0,0,11.35
"20-30",0,0,8.76
"20-30",0,0,11.36
"20-30",0,0,10.59
"20-30",0,0,7.22
"20-30",0,0,8.75
"20-30",0,0,4.19
"20-30",0,0,12.04
"20-30",0,0,10.68
"20-30",0,0,12
"20-30",0,0,9.17
"20-30",0,0,12.71
"20-30",0,0,13.71
"20-30",0,0,10.18
"20-30",0,0,11.84
"20-30",0,0,10.24
"20-30",0,0,12.91
"20-30",0,0,8.88
"20-30",0,0,8.76
"20-30",0,0,7.62
"20-30",0,0,11.12
"20-30",0,0,10.71
"20-30",0,0,9.85
"20-30",0,0,7.29
"20-30",0,0,10.78
"20-30",0,0,9.42
"20-30",0,0,12.47
"20-30",0,0,10.88
"20-30",0,0,9.11
"20-30",0,0,8.24
"20-30",0,0,11.75
"20-30",0,0,8.67
"20-30",0,0,11.13
"20-30",0,0,9.91
"20-30",0,0,9.48
"20-30",0,0,10.71
"20-30",0,0,10.87
"20-30",0,0,9.09
"20-30",0,0,11.47
"20-30",0,0,10.86
"20-30",0,0,12.93
"20-30",0,0,7.39
"20-30",0,0,7.98
"20-30",0,0,10.21
"20-30",0,0,10.63
"20-30",0,0,12.18
"20-30",0,0,9.51
"20-30",0,0,9.18
"20-30",0,0,13.3
"20-30",0,0,9.35
"20-30",0,0,8.8
"20-30",0,0,8.26
"20-30",0,0,8.19
"20-30",0,0,9.02
"20-30",0,0,13.11
"20-30",0,0,10.17
"20-30",0,0,10.2
"20-30",0,0,11.32
"20-30",0,0,10.87
"20-30",0,0,10.21
"20-30",0,0,14.62
"20-30",0,0,10.8
"20-30",0,0,8.78
"20-30",0,0,14.36
"20-30",0,0,8.78
"20-30",0,0,11.38
"20-30",0,0,5.77
"20-30",0,0,7.57
"20-30",0,0,12.39
"20-30",0,0,10.99
"20-30",0,0,12.64
"20-30",0,0,13.55
"20-30",0,0,9.74
"20-30",0,0,7.97
"20-30",0,0,12.05
"20-30",0,0,10.79
"20-30",0,0,10.25
"20-30",0,0,10.15
"20-30",0,0,6.2
"20-30",0,0,10.42
"20-30",0,0,9.31
"20-30",0,0,11.26
"20-30",0,0,11.8
"20-30",0,0,10.65
"20-30",0,0,10.18
"20-30",0,0,11.57
"20-30",0,0,7.37
"20-30",0,0,8.6
"20-30",0,0,11.32
"20-30",0,0,11.56
"20-30",0,0,12.63
"20-30",0,0,11.08
"20-30",0,0,10.03
"20-30",0,0,8.11
"20-30",0,0,6.96
"20-30",0,0,12.56
"20-30",0,0,11.44
"20-30",0,0,9.04
"20-30",0,0,8.47
"20-30",0,0,12.29
"20-30",0,0,8.52
"20-30",0,0,12.95
"20-30",0,0,10.98
"20-30",0,0,12.82
"20-30",0,0,14.68
"20-30",0,0,14.03
"20-30",0,0,11.77
"20-30",0,0,8.73
"20-30",0,0,8.55
"20-30",0,0,7.86
"20-30",0,0,13.53
"20-30",0,0,11.3
"20-30",0,0,13.51
"20-30",0,0,11.57
"20-30",0,0,8.16
"20-30",0,0,6.88
"20-30",0,0,8.26
"20-30",0,0,9.85
"20-30",0,0,12.78
"20-30",0,0,9.14
"20-30",0,0,12.36
"20-30",0,0,9.92
"20-30",0,0,9.45
"20-30",0,0,5.52
"20-30",0,0,13.59
"20-30",0,0,8.77
"20-30",0,0,11.81
"20-30",0,0,13.29
"20-30",0,0,11.61
"20-30",0,0,11.29
"20-30",0,0,9.79
"20-30",0,0,8.97
"20-30",0,0,11.42
"20-30",0,0,8.74
"20-30",0,0,12.02
"20-30",0,0,12.17
"20-30",0,0,8.72
"20-30",0,0,13.02
"20-30",0,0,10.34
"20-30",0,0,7.93
"20-30",0,0,10.99
"20-30",0,0,11.47
"20-30",0,0,7.44
"20-30",0,0,12.34
"20-30",0,0,10.94
"20-30",0,0,9.3
"20-30",0,0,10.02
"20-30",0,0,7.44
"20-30",0,0,11.48
"20-30",0,0,12.04
"20-30",0,0,11.21
"20-30",0,0,7.59
"20-30",0,0,11.59
"20-30",0,0,10.44
"20-30",0,0,10.32
"20-30",0,0,11.74
"20-30",0,0,10.49
"20-30",0,0,9.17
"20-30",0,0,10.31
"20-30",0,0,9.18
"20-30",0,0,13.81
"20-30",0,0,10.64
"20-30",0,0,12.43
"20-30",0,0,13.31
"20-30",0,0,11.62
"20-30",0,0,8.62
"20-30",0,0,11.09
"20-30",0,0,9.54
"20-30",0,0,14.43
"20-30",0,0,8.24
"20-30",0,0,10.05
"20-30",0,0,10.65
"20-30",0,0,11.41
"20-30",0,0,8.78
"20-30",0,0,10.37
"20-30",0,0,10.29
"20-30",0,0,9.86
"20-30",0,0,7.18
"20-30",0,0,9.82
"20-30",0,0,11.15
"20-30",0,0,9.41
"20-30",0,0,7.5
"20-30",0,0,9.21
"20-30",0,0,10.8
"20-30",0,0,7.6
"20-30",0,0,12.87
"20-30",0,0,14.49
"20-30",0,0,8.15
"20-30",0,0,11.59
"20-30",0,0,11.92
"20-30",0,0,9.55
"20-30",0,0,10.06
"20-30",0,0,12.18
"20-30",0,0,9.85
"20-30",0,0,7.92
"20-30",0,0,11.5
"20-30",0,0,8.57
"20-30",0,0,8.96
"20-30",0,0,11.82
"20-30",0,0,12.25
"20-30",0,0,13.27
"20-30",0,0,11.92
"20-30",0,0,12.4
"20-30",0,0,7.54
"20-30",0,0,7.97
"20-30",0,0,11.2
"20-30",0,0,11.41
"20-30",0,0,10.64
"20-30",0,0,8.69
"20-30",0,0,12.26
"20-30",0,0,12.64
"20-30",0,0,9.79
"20-30",0,0,9.78
"20-30",0,0,13.01
"20-30",0,0,12.4
"20-30",0,0,14.76
"20-30",0,0,7.36
"20-30",0,0,8.24
"20-30",0,0,10.63
"20-30",0,0,7.81
"20-30",0,0,10.53
"20-30",0,0,12.7
"20-30",0,0,8.9
"20-30",0,0,10.89
"20-30",0,0,11.17
"20-30",0,0,11.56
"20-30",0,0,7.98
"20-30",0,0,10.26
"20-30",0,0,12.39
"20-30",0,0,12.92
"20-30",0,0,10.14
"20-30",0,0,12.14
"20-30",0,0,9.81
"20-30",0,0,11
"20-30",0,0,7.62
"20-30",0,0,11.15
"20-30",0,0,8.67
"20-30",0,0,11.69
"20-30",0,0,11.71
"20-30",0,0,10.86
"20-30",0,0,7.89
"20-30",0,0,11.59
"20-30",0,0,9.09
"20-30",0,0,7.55
"20-30",0,0,8.45
"20-30",0,0,11.43
"20-30",0,0,15.49
"20-30",0,0,9.82
"20-30",0,0,11.68
"20-30",0,0,10
"20-30",0,0,10.76
"20-30",0,0,8.96
"20-30",0,0,10.36
"20-30",0,0,10.36
"20-30",0,0,9.57
"20-30",0,0,5.88
"20-30",0,0,10.89
"20-30",0,0,14.56
"20-30",0,0,12.95
"20-30",0,0,10.07
"20-30",0,0,7.36
"20-30",0,0,9.54
"20-30",0,0,7.37
"20-30",0,0,12.45
"20-30",0,0,7.85
"20-30",0,0,4.19
"20-30",0,0,13.2
"20-30",0,0,11.74
"30-40",0,0,9.38
"30-40",0,0,6.22
"30-40",0,0,6.55
"30-40",0,0,4.07
"30-40",0,0,9.69
"30-40",0,0,7.12
"30-40",0,0,6.27
"30-40",0,0,11.18
"30-40",0,0,5.95
"30-40",0,0,6.66
"30-40",0,0,10.09
"30-40",0,0,9.57
"30-40",0,0,10.96
"30-40",0,0,6.89
"30-40",0,0,11.21
"30-40",0,0,4.97
"30-40",0,0,8.49
"30-40",0,0,9.35
"30-40",0,0,8.92
"30-40",0,0,5.17
"30-40",0,0,10.87
"30-40",0,0,10.49
"30-40",0,0,10.35
"30-40",0,0,7.97
"30-40",0,0,8.04
"30-40",0,0,7.49
"30-40",0,0,4.52
"30-40",0,0,9.99
"30-40",0,0,7.39
"30-40",0,0,7.54
"30-40",0,0,12.62
"30-40",0,0,9.26
"30-40",0,0,6.95
"30-40",0,0,11.27
"30-40",0,0,7.74
"30-40",0,0,10.7
"30-40",0,0,10.14
"30-40",0,0,9.54
"30-40",0,0,5.87
"30-40",0,0,9.01
"30-40",0,0,9.2
"30-40",0,0,8.82
"30-40",0,0,8.13
"30-40",0,0,12.4
"30-40",0,0,11.96
"30-40",0,0,8.49
"30-40",0,0,9.51
"30-40",0,0,11.25
"30-40",0,0,12.83
"30-40",0,0,8.91
"30-40",0,0,7.76
"30-40",0,0,11.93
"30-40",0,0,10.16
"30-40",0,0,6.11
"30-40",0,0,8.1
"30-40",0,0,11.23
"30-40",0,0,8.44
"30-40",0,0,4.98
"30-40",0,0,7.3
"30-40",0,0,9.74
"30-40",0,0,5.69
"30-40",0,0,4.69
"30-40",0,0,7.52
"30-40",0,0,7.43
"30-40",0,0,7.79
"30-40",0,0,4.9
"30-40",0,0,8.22
"30-40",0,0,5.44
"30-40",0,0,10
"30-40",0,0,6.65
"30-40",0,0,9.55
"30-40",0,0,7.69
"30-40",0,0,8.44
"30-40",0,0,9.55
"30-40",0,0,10.4
"30-40",0,0,11.37
